migration_rate,biotic_coeff,abiotic_coeff,fixed_interaction_mat,selection_coeff,correlated_div,modular_div,div_diff
0.0,0.5,2.0,1,0.5,2.2396020839710147,2.1735062502761977,0.06609583369481697
0.0,0.0,2.0,4,0.12,2.5938421053446348,2.5914115770050983,0.0024305283395364974
0.0,5.0,0.0,1,0.01,2.4137696782824802,1.7740938451295674,0.6396758331529129
0.0,1.0,1.0,1,0.01,2.4811034112836556,2.149156921692561,0.33194648959109463
0.0,1.0,0.5,9,0.5,0.06744757210533173,0.06796162801221695,-0.0005140559068852191
0.0,0.5,0.0,6,0.5,0.07260064869611725,0.08197552635381185,-0.009374877657694597
0.0,2.0,1.0,1,0.12,2.20698454938979,2.3577646708815334,-0.15078012149174347
0.0,0.1,0.1,8,0.5,0.06700902404333059,0.07465193673966493,-0.007642912696334339
0.0,2.0,0.5,7,0.5,0.2263999613001737,0.5717913981232258,-0.34539143682305207
0.0,1.0,0.1,4,0.01,2.465919485553387,2.347324196125419,0.11859528942796782
0.0,5.0,2.0,5,0.01,2.3677171425151053,2.296099055261568,0.07161808725353724
0.0,0.1,0.5,4,0.12,2.3619284027975818,2.2177695312062173,0.14415887159136442
0.0,0.5,0.0,1,0.5,0.06632679665686536,0.06922250140482653,-0.002895704747961164
0.0,0.5,0.5,9,0.01,2.4294283973259265,2.4543469037619348,-0.024918506436008236
0.0,0.5,5.0,8,0.5,2.1589605024819774,2.3943074320436875,-0.2353469295617101
0.0,5.0,0.5,7,0.01,2.5721457186385566,2.297511850205368,0.2746338684331886
0.0,0.0,0.0,8,0.01,2.5888489567279045,2.591243565479798,-0.0023946087518935677
0.0,5.0,0.1,8,0.5,0.06604885024730388,0.06783896259152478,-0.0017901123442208983
0.0,0.1,5.0,1,0.5,2.474420056867754,2.5907793813059854,-0.11635932443823149
0.0,0.5,0.1,3,0.12,2.451950306840201,2.4327915025333073,0.01915880430689354
0.0,0.5,0.5,4,0.01,2.409198268178383,2.3734786238014145,0.03571964437696851
0.0,5.0,2.0,2,0.5,1.8033292707349249,2.1061584363696166,-0.30282916563469175
0.0,5.0,0.5,8,0.01,2.516183968865381,2.4668291401362437,0.049354828729137434
0.0,5.0,0.0,5,0.01,2.4399850763063546,2.342096180114838,0.09788889619151675
0.0,0.5,0.1,9,0.12,2.437956363259353,2.4444945672244374,-0.0065382039650843105
0.0,0.0,0.5,2,0.01,2.593852851096543,2.5920976086752336,0.001755242421309422
0.0,5.0,5.0,1,0.5,2.446474060689491,2.4625321777922404,-0.016058117102749403
0.0,1.0,0.5,4,0.12,2.5294559667738814,2.278746362178076,0.2507096045958055
0.0,2.0,0.5,10,0.5,0.48862934351974313,0.06735322414900567,0.42127611937073745
0.0,0.0,0.0,10,0.01,2.5942459181871196,2.5900584950095933,0.004187423177526295
0.0,0.1,0.5,6,0.5,0.3296340631306421,0.48829555597620244,-0.15866149284556036
0.0,0.1,2.0,2,0.12,2.592641084703989,2.5399279363700393,0.0527131483339498
0.0,2.0,0.0,2,0.01,2.472617689356389,1.9630997648771242,0.5095179244792647
0.0,0.1,2.0,4,0.5,2.261825272563728,1.7359437391778658,0.5258815333858622
0.0,0.0,0.0,6,0.5,2.5726203191009342,2.508529567184404,0.06409075191653013
0.0,2.0,0.0,5,0.12,2.382922677863015,2.3800075674453476,0.0029151104176672327
0.0,0.1,5.0,1,0.12,2.535839513110159,2.55106591216134,-0.015226399051181172
0.0,1.0,1.0,2,0.5,1.3636106817720073,1.1905731056619127,0.17303757611009463
0.0,0.1,0.1,1,0.01,2.6272280228163103,2.6244310643158215,0.0027969585004887776
0.0,0.5,2.0,2,0.01,2.379716590637828,2.53312781908716,-0.15341122844933164
0.0,0.1,0.5,1,0.5,0.35193054850269445,0.42375183800174465,-0.0718212894990502
0.0,2.0,0.1,1,0.5,0.07290409778104799,0.0653728624401309,0.007531235340917097
0.0,0.1,1.0,4,0.5,1.277163378213131,0.7216711329923593,0.5554922452207718
0.0,0.0,0.0,1,0.5,2.527415418278676,2.476026364543699,0.051389053734977264
0.0,0.5,5.0,1,0.01,2.5300577688172496,2.400897295967259,0.12916047284999044
0.0,0.5,0.1,10,0.01,2.5776362919071745,2.376151450424211,0.20148484148296353
0.0,0.5,1.0,5,0.12,2.465856855200138,2.4250732593816875,0.04078359581845037
0.0,2.0,0.5,10,0.12,2.1482987777124003,2.408872614555136,-0.2605738368427355
0.0,1.0,2.0,2,0.12,2.4829533141820077,2.5408925931898914,-0.05793927900788365
0.0,2.0,1.0,4,0.01,2.1226663102284133,2.2415391840170065,-0.11887287378859313
0.0,2.0,2.0,7,0.5,1.9756796910636591,2.063493248069547,-0.08781355700588778
0.0,1.0,2.0,4,0.5,2.302648592349659,2.1050488449915035,0.19759974735815566
0.0,0.1,1.0,7,0.01,2.6470451425928765,2.4400848967537834,0.20696024583909312
0.0,0.0,1.0,1,0.12,2.5918140934135407,2.5826192187005996,0.009194874712941115
0.0,1.0,5.0,1,0.12,2.356777531702106,2.1897478574936424,0.1670296742084636
0.0,0.0,5.0,10,0.5,2.5923333481051953,2.576137423402853,0.016195924702342435
0.0,1.0,2.0,3,0.12,2.3180587000097863,2.0960924004653982,0.22196629954438807
0.0,5.0,0.0,4,0.5,0.07233423190508606,0.06681355122016233,0.005520680684923729
0.0,2.0,2.0,8,0.5,2.152326295731293,2.0642344903382885,0.08809180539300465
0.0,5.0,0.5,6,0.12,2.2684761070233392,2.559617428233117,-0.291141321209778
0.0,0.5,0.0,3,0.01,2.335141695421046,2.3596769945462563,-0.02453529912521013
0.0,2.0,1.0,8,0.5,1.3367398746718988,1.8251836809191309,-0.48844380624723205
0.0,0.0,5.0,6,0.01,2.591284178566685,2.5940985461381487,-0.002814367571463805
0.0,0.5,0.5,10,0.12,2.3362225963195287,2.3758302091395405,-0.039607612820011795
0.0,5.0,5.0,2,0.01,2.2241216864133455,2.1680163248097726,0.056105361603572934
0.0,5.0,1.0,4,0.12,2.185469022987953,2.4160695725331216,-0.2306005495451684
0.0,5.0,5.0,5,0.12,2.443498173811479,2.3044315197951812,0.1390666540162977
0.0,2.0,5.0,3,0.5,2.3294075061070827,2.2206673450280037,0.10874016107907902
0.0,1.0,1.0,7,0.01,2.4334128872539527,2.362861818354205,0.07055106889974772
0.0,0.0,1.0,2,0.01,2.58832306951726,2.594735073460734,-0.006412003943474076
0.0,2.0,5.0,9,0.5,2.309244480402871,2.4671900545717302,-0.15794557416885935
0.0,1.0,0.0,7,0.01,2.280422320766582,2.497991076272186,-0.21756875550560428
0.0,2.0,5.0,4,0.5,2.394661353684177,2.1553001802407867,0.23936117344339047
0.0,0.0,0.0,2,0.01,2.586797946114871,2.5924621166059825,-0.005664170491111342
0.0,1.0,0.0,4,0.12,2.5227935357698024,2.414644433404954,0.1081491023648482
0.0,0.0,2.0,9,0.01,2.589210757993318,2.5894460488167024,-0.00023529082338447083
0.0,0.1,0.0,6,0.5,0.06701504432025455,0.06941697697978905,-0.002401932659534492
0.0,0.1,5.0,7,0.5,2.395993933055721,2.5108348719945455,-0.11484093893882452
0.0,0.5,5.0,3,0.5,2.4032998088786486,2.5378233443036216,-0.13452353542497297
0.0,0.0,0.1,1,0.5,2.5494427601675045,2.520631429011237,0.02881133115626744
0.0,2.0,0.5,3,0.5,0.32214286358300015,0.4580530273949302,-0.13591016381193005
