migration_rate,biotic_coeff,fixed_interaction_mat,abiotic_coeff,selection_coeff,diversity_index
0.0,0.0,6,5.0,0.01,2.591284178566685
0.0,0.5,10,0.5,0.12,2.3362225963195287
0.0,5.0,2,5.0,0.01,2.2241216864133455
0.0,5.0,4,1.0,0.12,2.185469022987953
0.0,5.0,5,5.0,0.12,2.443498173811479
0.0,2.0,3,5.0,0.5,2.3294075061070827
0.0,1.0,7,1.0,0.01,2.4334128872539527
0.0,0.0,2,1.0,0.01,2.58832306951726
0.0,2.0,9,5.0,0.5,2.309244480402871
0.0,1.0,7,0.0,0.01,2.280422320766582
0.0,2.0,4,5.0,0.5,2.394661353684177
0.0,0.0,2,0.0,0.01,2.586797946114871
0.0,1.0,4,0.0,0.12,2.5227935357698024
0.0,0.0,9,2.0,0.01,2.589210757993318
0.0,0.1,6,0.0,0.5,0.06701504432025455
0.0,0.1,7,5.0,0.5,2.395993933055721
0.0,0.5,3,5.0,0.5,2.4032998088786486
0.0,0.0,1,0.1,0.5,2.5494427601675045
0.0,2.0,3,0.5,0.5,0.32214286358300015
0.0,0.1,6,2.0,0.12,2.609268357031264
0.0,5.0,3,0.1,0.5,0.06750999330640496
0.0,0.1,1,0.0,0.5,0.06685226037880097
0.0,0.1,8,5.0,0.5,2.482200685243862
0.0,5.0,6,0.0,0.5,0.06644583365514643
0.0,0.5,10,1.0,0.5,1.2546751936267098
0.0,0.5,2,5.0,0.12,2.4501717814761563
0.0,0.5,2,0.1,0.01,2.4469062872060783
0.0,5.0,6,2.0,0.12,2.195309031261007
0.0,0.5,8,1.0,0.12,2.3796824873217854
0.0,2.0,10,0.0,0.12,2.304753403552093
0.0,5.0,4,0.1,0.5,0.06723401732627692
0.0,0.1,7,5.0,0.12,2.4917506547120643
0.0,0.0,8,2.0,0.5,2.584572119826101
0.0,0.1,7,0.5,0.5,0.6596233598056133
0.0,5.0,1,2.0,0.12,2.423143266803976
0.0,0.5,8,0.0,0.12,2.4016449657822254
0.0,2.0,7,0.1,0.5,0.0716285373539993
0.0,5.0,4,0.5,0.01,2.4851060022178424
0.0,0.1,5,1.0,0.5,1.0891185356498494
0.0,0.0,7,0.0,0.5,2.5405357927829293
0.0,0.0,5,0.1,0.5,2.5740678534175023
0.0,0.1,8,5.0,0.12,2.5560478208566626
0.1,0.1,10,0.0,0.12,2.224707810667628
0.1,0.0,2,0.0,0.12,2.585424700428249
0.1,2.0,1,0.0,0.5,0.06775684104211227
0.1,5.0,1,1.0,0.01,2.3751881192808963
0.1,2.0,9,0.5,0.01,2.0425086750358936
0.1,0.0,7,2.0,0.01,2.589417457462396
0.1,1.0,3,5.0,0.12,2.217186794513622
0.1,1.0,3,0.1,0.01,2.491277580880762
0.1,0.5,5,0.5,0.12,2.4586561390125166
0.1,5.0,2,0.5,0.12,2.4060181962526794
0.1,2.0,4,0.5,0.01,2.4094595023517544
0.1,0.0,4,2.0,0.12,2.5912081896482473
0.1,0.1,5,2.0,0.01,2.582763279739134
0.1,5.0,4,0.1,0.01,2.3541991035718635
0.1,1.0,1,1.0,0.01,2.3157315866892074
