migration_rate,biotic_coeff,fixed_interaction_mat,abiotic_coeff,selection_coeff,diversity_index
0.1,0.5,9,0.1,0.5,0.07351898631941314
0.1,1.0,4,5.0,0.12,2.457617335008815
0.1,2.0,7,0.5,0.5,0.3461514043902102
0.1,0.0,7,0.0,0.01,2.5905495346879137
0.1,0.0,5,0.1,0.01,2.5928524659122067
0.1,0.0,9,0.0,0.12,2.5888009902853435
0.1,0.1,6,5.0,0.5,2.4888849660467516
0.1,0.0,8,1.0,0.01,2.5933499829559286
0.1,2.0,1,0.0,0.12,2.3698054796589254
0.1,0.1,2,2.0,0.5,1.7655163298184424
0.1,0.0,4,0.0,0.12,2.594236205850402
0.1,2.0,8,0.1,0.01,1.9522875868064653
0.1,5.0,8,0.1,0.5,0.06709794762800746
0.1,0.5,3,0.1,0.12,2.3716350944060762
0.1,0.1,10,0.1,0.5,0.08520960525882448
0.1,1.0,7,0.5,0.01,2.414775527106619
0.1,0.5,7,5.0,0.12,2.5578939827531793
0.1,0.5,1,1.0,0.12,2.3301154522415195
0.1,0.5,7,0.1,0.01,2.4292862106849884
0.1,0.5,7,0.5,0.5,0.5521139617301873
0.1,2.0,10,5.0,0.12,2.513598641936222
0.1,0.0,4,5.0,0.01,2.5907720248025954
0.1,1.0,4,0.5,0.12,2.3338507932772
0.1,0.0,1,2.0,0.5,2.567107346458711
0.1,5.0,10,0.1,0.5,0.06714762230799866
0.1,1.0,5,0.0,0.01,2.4943634125791676
0.1,0.5,8,0.1,0.01,2.4782792707279433
0.1,0.0,1,1.0,0.5,2.573781482074808
0.1,2.0,5,0.0,0.12,2.317915940764161
0.1,0.5,6,5.0,0.01,2.485511212233741
0.1,5.0,2,0.0,0.5,0.0657687865279168
0.1,5.0,10,0.5,0.01,2.3325240043748012
0.1,0.1,2,1.0,0.12,2.571017165268818
0.1,5.0,3,1.0,0.5,1.4732629172343836
0.1,0.0,2,0.1,0.12,2.586816118780212
0.1,0.1,4,1.0,0.5,1.305136241337925
0.1,0.1,5,5.0,0.5,2.3725583781452366
0.1,0.0,9,0.5,0.01,2.5933158472761475
0.1,2.0,3,0.0,0.01,2.368730458850239
0.1,2.0,9,1.0,0.01,2.5933178185902444
0.1,1.0,8,0.1,0.12,2.30386195993863
0.1,1.0,10,0.5,0.01,2.5287752701346586
0.1,5.0,4,2.0,0.5,2.245303516164154
0.1,0.1,2,0.0,0.12,2.435802792146665
0.1,0.5,10,5.0,0.12,2.490660300697661
0.1,5.0,9,1.0,0.5,1.2444645512237342
0.1,5.0,3,0.0,0.5,0.06689940151116136
0.1,5.0,1,5.0,0.12,2.382514235961221
0.1,1.0,3,1.0,0.5,1.1312672959605952
0.1,0.0,1,2.0,0.12,2.586094728377457
0.1,0.5,5,1.0,0.12,2.582075651006431
0.1,0.5,10,0.5,0.5,0.06958697821456893
0.1,0.5,3,2.0,0.01,2.3221443926111305
0.1,0.1,4,0.0,0.5,0.06692032612507953
0.1,5.0,3,2.0,0.12,2.276370443158138
0.1,0.0,6,0.0,0.12,2.58707748425993
0.1,0.5,3,1.0,0.01,2.306241873418458
0.1,1.0,2,1.0,0.12,2.4739225226244175
0.1,5.0,7,2.0,0.01,1.9313279490395043
0.1,5.0,9,2.0,0.12,2.404912912241513
0.1,0.1,2,5.0,0.01,2.5516238837482863
0.1,1.0,4,1.0,0.5,1.2268504025491458
0.1,2.0,2,5.0,0.5,1.9408743354421047
0.1,0.1,5,0.1,0.01,2.6404975495505116
0.1,0.1,8,1.0,0.01,2.677031877826548
0.1,1.0,2,0.0,0.12,2.2384288436325006
0.1,5.0,7,1.0,0.01,2.4543091138074047
0.1,5.0,9,1.0,0.12,2.506254129212069
0.1,0.0,8,0.5,0.5,2.5792737491092574
0.1,0.0,5,0.0,0.5,2.543779204361529
0.1,1.0,6,0.5,0.12,2.3906289469301747
0.1,2.0,7,2.0,0.12,2.4757014094006604
0.1,0.0,5,2.0,0.12,2.5872329033504355
0.1,0.0,1,5.0,0.01,2.595526425343389
0.1,0.1,9,5.0,0.01,2.6174531013292763
0.1,0.5,7,1.0,0.5,0.6857935931737231
0.1,0.0,10,5.0,0.12,2.5936164850394277
0.1,1.0,1,0.5,0.12,2.302641831383824
0.1,1.0,2,5.0,0.01,2.4082193111282093
0.1,2.0,8,2.0,0.12,1.8929161555034142
0.1,2.0,9,5.0,0.5,2.477608863179175
0.1,1.0,5,5.0,0.12,2.3347274249022405
0.1,2.0,10,1.0,0.5,1.5352335997945787
0.1,1.0,7,0.0,0.01,2.2216302653865845
0.1,1.0,9,0.0,0.12,2.304518356242011
0.1,0.5,2,5.0,0.5,2.3846033056849274
